Year,Week Reported,County,State,Positive Cases
2007,38,Sacramento,California,1
2007,40,Sacramento,California,2
2007,41,Sacramento,California,3
2007,43,Sacramento,California,3
2007,44,Sacramento,California,2
2007,48,Sacramento,California,1
2007,33,San Bernardino,California,1
2007,36,San Bernardino,California,1
2007,39,San Bernardino,California,1
2007,44,San Bernardino,California,1
2007,36,San Diego,California,2
2007,38,San Diego,California,2
2007,39,San Diego,California,4
2007,40,San Diego,California,6
2007,42,San Diego,California,1
2007,28,San Joaquin,California,1
2007,31,San Joaquin,California,1
2007,33,San Joaquin,California,1
2007,36,San Joaquin,California,1
2007,39,San Joaquin,California,2
2007,42,San Joaquin,California,4
2007,31,Santa Clara,California,1
2007,32,Santa Clara,California,1
2007,40,Santa Clara,California,2
2007,30,Shasta,California,1
2007,35,Shasta,California,1
2007,36,Shasta,California,2
2007,37,Shasta,California,2
2007,38,Shasta,California,1
2007,39,Shasta,California,1
2007,41,Shasta,California,1
2007,34,Solano,California,1
2007,30,Sonoma,California,1
2007,29,Stanislaus,California,1
2007,30,Stanislaus,California,1
2007,31,Stanislaus,California,2
2007,33,Stanislaus,California,2
2007,34,Stanislaus,California,4
2007,36,Stanislaus,California,1
2007,37,Stanislaus,California,1
2007,38,Stanislaus,California,1
2007,39,Stanislaus,California,3
2007,40,Stanislaus,California,1
2007,41,Stanislaus,California,1
2007,42,Stanislaus,California,1
2007,43,Stanislaus,California,1
2007,44,Stanislaus,California,1
2007,32,Sutter,California,1
2007,33,Sutter,California,1
2007,48,Sutter,California,1
2007,33,Tehama,California,3
2007,36,Tehama,California,1
2007,38,Tulare,California,7
2007,40,Tulare,California,3
2007,37,Ventura,California,1
2007,32,Yolo,California,1
2007,49,Yolo,California,1
2008,32,Alameda,California,1
2008,32,Butte,California,1
2008,34,Butte,California,1
2008,37,Butte,California,2
2008,40,Butte,California,1
2008,50,Butte,California,1
2008,39,Calaveras,California,1
2008,36,Colusa,California,1
2008,36,Contra Costa,California,1
2008,38,Contra Costa,California,1
2008,40,Contra Costa,California,2
2008,40,El Dorado,California,1
2008,30,Fresno,California,1
2008,44,Fresno,California,1
2008,45,Fresno,California,1
2008,53,Glenn,California,1
2008,45,Kern,California,1
2008,50,Kern,California,1
2008,39,Kings,California,1
2008,51,Kings,California,1
2008,30,Los Angeles,California,3
2008,31,Los Angeles,California,8
2008,32,Los Angeles,California,5
2008,33,Los Angeles,California,9
2008,35,Los Angeles,California,8
2008,36,Los Angeles,California,6
2008,37,Los Angeles,California,14
2008,38,Los Angeles,California,21
2008,39,Los Angeles,California,14
2008,41,Los Angeles,California,23
2008,43,Los Angeles,California,8
2008,44,Los Angeles,California,4
2008,45,Los Angeles,California,13
2008,46,Los Angeles,California,5
2008,47,Los Angeles,California,4
2008,49,Los Angeles,California,4
2008,51,Los Angeles,California,1
2008,53,Los Angeles,California,6
2008,36,Merced,California,1
2008,29,Orange,California,2
2008,31,Orange,California,7
2008,32,Orange,California,3
2008,33,Orange,California,2
2008,34,Orange,California,7
2008,35,Orange,California,13
2008,36,Orange,California,7
2008,37,Orange,California,4
2008,39,Orange,California,8
2008,40,Orange,California,7
2008,44,Orange,California,1
2008,45,Orange,California,2
2008,46,Orange,California,2
2008,48,Orange,California,1
2008,49,Orange,California,2
2008,51,Orange,California,2
2008,53,Orange,California,1
2008,36,Placer,California,2
2008,39,Placer,California,2
2008,43,Placer,California,1
2008,45,Placer,California,1
2008,32,Riverside,California,9
2008,33,Riverside,California,4
2008,34,Riverside,California,6
2008,35,Riverside,California,4
2008,36,Riverside,California,4
2008,37,Riverside,California,9
2008,38,Riverside,California,4
2008,39,Riverside,California,3
2008,40,Riverside,California,5
2008,41,Riverside,California,2
2008,42,Riverside,California,2
2008,43,Riverside,California,2
2008,44,Riverside,California,1
2008,45,Riverside,California,3
2008,47,Riverside,California,2
2008,50,Riverside,California,1
2008,53,Riverside,California,1
2008,32,Sacramento,California,2
2008,33,Sacramento,California,1
2008,34,Sacramento,California,1
2008,36,Sacramento,California,1
2008,37,Sacramento,California,2
2008,38,Sacramento,California,1
2008,40,Sacramento,California,2
2008,43,Sacramento,California,3
2008,32,San Bernardino,California,2
2008,35,San Bernardino,California,1
2008,36,San Bernardino,California,2
2008,38,San Bernardino,California,5
2008,39,San Bernardino,California,2
2008,41,San Bernardino,California,6
2008,44,San Bernardino,California,3
2008,45,San Bernardino,California,3
2008,47,San Bernardino,California,1
2008,49,San Bernardino,California,2
2008,50,San Bernardino,California,1
2008,53,San Bernardino,California,8
2008,30,San Diego,California,1
2008,32,San Diego,California,2
